id,type,domain,enabled,date_added,date_modified,comment
1,3,^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
2,3,^(.+[_.-])?telemetry[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
3,3,"^ad([sxv]?[0-9]*|system)[_.-]([^.[:space:]]+\.){1,}|[_.-]ad([sxv]?[0-9]*|system)[_.-]",1,1620391954,1620391954,github.com/mmotti/pihole-regex
4,3,^adim(age|g)s?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
5,3,^adtrack(er|ing)?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
6,3,^advert(s|is(ing|ements?))?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
7,3,^aff(iliat(es?|ion))?[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
8,3,^analytics?[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
9,3,^banners?[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
10,3,^beacons?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
11,3,^count(ers?)?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
12,3,^mads\.,1,1620391954,1620391954,github.com/mmotti/pihole-regex
13,3,^pixels?[-.],1,1620391954,1620391954,github.com/mmotti/pihole-regex
14,3,^stat(s|istics)?[0-9]*[_.-],1,1620391954,1620391954,github.com/mmotti/pihole-regex
